,Rating,Title,Body
0,5.0,first wasnt sure liked soup,first wasnt sure liked soup much lighter traditional broccoli cheddar soups couldnt stop eating flavor delicious didnt leave heavy goopy feeling broccoli cheddar soups leave definitely buy
1,5.0,guilty fat pleasure,guilty guilty guilty pleasure tastes good next time ill add broccoli stretch theres way much fat eat whole thing tide wasnt hungry long time afterward
2,5.0,tasty soup tasty gal,quite tasty hurry even youre lazy make homemade soup pretty much every day existence
3,5.0,best soup ever,omgggg amazingi added cheese adobo seasoning
4,5.0,yummy creamy broccoli cheese soup,kids loved portions generous split one 2 kids adults also starter meal
5,4.0,good much sugar,12g sugar much diabetic sure list container 6g sugar 2 servings thing 2 servings gimmie breakoverall great taste texture
6,5.0,great soup,love soup
7,5.0,delightful,lovely soup delicious thick thick
8,5.0,buying great soup,really enjoyed product soup plenty broccoli cheddar soup delicious buying
9,5.0,alto precio,siempre deliciosa
10,5.0,taste good,taste great
11,5.0,tasty,yummy taste like got panera
12,5.0,best,buy every time stocks
13,5.0,panera bread yummy,delicious buying
14,5.0,five stars,excellent shared coworkers love
15,5.0,five stars,would def get
16,4.0,four stars,tastes exactly like soup restaurant pretty tasty
