,Words,Count
0,first,1
1,wasnt,1
2,sure,1
3,liked,1
4,soup,11
5,guilty,1
6,fat,1
7,pleasure,1
8,tasty,3
11,gal,1
12,best,2
14,ever,1
15,yummy,2
16,creamy,1
17,broccoli,1
18,cheese,1
20,good,5
21,much,1
22,sugar,1
23,great,3
25,delightful,1
26,buying,1
29,alto,1
30,precio,1
31,taste,3
35,panera,1
36,bread,1
38,five,2
39,stars,4
42,four,2
44,thick,1
45,heated,1
46,well,1
47,weird,1
48,chemical,1
53,restaurant,1
56,actual,1
57,restraunt,1
58,like,1
59,wonderful,1
61,review,1
62,wont,1
63,disaapointed,1
64,soupalicious,1
66,worth,1
67,400,1
68,im,1
69,disgusted,1
70,disappointed,1
71,favorite,1
74,must,1
75,try,1
76,love,3
79,excellent,1
82,hair,1
83,delicious,1
84,even,1
85,close,1
86,real,1
